fips_code,incident_start_date,incidenttype,is_major_disaster,state_x,incident_year,stabr,area_name_x,year_x,medhhinc,povall,state_y,area_name_y,year_y,civilian_labor_force,employed,unemployed,unemployment_rate,median_household_income,med_hh_income_percent_of_state_total,total_population,total_population_norm
41067,2024-08-08 00:00:00+00:00,Fire,0,OR,2024,OR,Washington County,2023.0,103486.0,48317.0,OR,"Washington County, OR",2023.0,332643.0,321932.0,10711.0,3.2,98706.0,130.5,598865.0,0.0619686728201188
41031,2024-08-04 00:00:00+00:00,Fire,0,OR,2024,OR,Jefferson County,2023.0,68419.0,3390.0,OR,"Jefferson County, OR",2023.0,10286.0,9814.0,472.0,4.6,65600.0,86.7,25454.0,0.0026296394338084
41017,2024-08-02 00:00:00+00:00,Fire,0,OR,2024,OR,Deschutes County,2023.0,95414.0,17944.0,OR,"Deschutes County, OR",2023.0,104662.0,100812.0,3850.0,3.7,84281.0,111.4,208513.0,0.0215733710899235
6000,2017-02-08 00:00:00+00:00,Severe Storm,1,CA,2017,,,,,,,,,,,,,,,,
1001,2015-12-23 00:00:00+00:00,Severe Storm,1,AL,2015,AL,Autauga County,2023.0,68857.0,7004.0,AL,"Autauga County, AL",2023.0,27000.0,26409.0,591.0,2.2,70148.0,117.5,60342.0,0.0062399995363903
1005,2015-12-23 00:00:00+00:00,Severe Storm,1,AL,2015,AL,Barbour County,2023.0,45298.0,5585.0,AL,"Barbour County, AL",2023.0,7944.0,7592.0,352.0,4.4,41151.0,68.9,24585.0,0.0025397115809896
1009,2015-12-23 00:00:00+00:00,Severe Storm,1,AL,2015,AL,Blount County,2023.0,64962.0,7590.0,AL,"Blount County, AL",2023.0,25836.0,25282.0,554.0,2.1,60553.0,101.4,59816.0,0.0061855667969395
1011,2015-12-23 00:00:00+00:00,Severe Storm,1,AL,2015,AL,Bullock County,2023.0,36204.0,2779.0,AL,"Bullock County, AL",2023.0,4500.0,4393.0,107.0,2.4,35798.0,60.0,9897.0,0.0010197342481896
1013,2015-12-23 00:00:00+00:00,Severe Storm,1,AL,2015,AL,Butler County,2023.0,44729.0,4263.0,AL,"Butler County, AL",2023.0,9009.0,8746.0,263.0,2.9,41852.0,70.1,18382.0,0.0018977984957936
41001,2024-07-21 00:00:00+00:00,Fire,0,OR,2024,OR,Baker County,2023.0,59123.0,2677.0,OR,"Baker County, OR",2023.0,7083.0,6775.0,308.0,4.3,54382.0,71.9,16912.0,0.001745676581359
41045,2024-07-21 00:00:00+00:00,Fire,0,OR,2024,OR,Malheur County,2023.0,53762.0,5686.0,OR,"Malheur County, OR",2023.0,12844.0,12374.0,470.0,3.7,49380.0,65.3,32044.0,0.0033116009413759
41023,2024-07-21 00:00:00+00:00,Fire,0,OR,2024,OR,Grant County,2023.0,61024.0,1091.0,OR,"Grant County, OR",2023.0,3184.0,3024.0,160.0,5.0,58348.0,77.1,7215.0,0.0007421893675681
41049,2024-07-21 00:00:00+00:00,Fire,0,OR,2024,OR,Morrow County,2023.0,80508.0,1617.0,OR,"Morrow County, OR",2023.0,6099.0,5891.0,208.0,3.4,67524.0,89.3,12302.0,0.0012686139789483
41059,2024-07-21 00:00:00+00:00,Fire,0,OR,2024,OR,Umatilla County,2023.0,62890.0,12500.0,OR,"Umatilla County, OR",2023.0,38603.0,37029.0,1574.0,4.1,71012.0,93.9,80053.0,0.0082797784856563
41023,2024-07-20 00:00:00+00:00,Fire,0,OR,2024,OR,Grant County,2023.0,61024.0,1091.0,OR,"Grant County, OR",2023.0,3184.0,3024.0,160.0,5.0,58348.0,77.1,7215.0,0.0007421893675681
41023,2024-07-18 00:00:00+00:00,Fire,0,OR,2024,OR,Grant County,2023.0,61024.0,1091.0,OR,"Grant County, OR",2023.0,3184.0,3024.0,160.0,5.0,58348.0,77.1,7215.0,0.0007421893675681
41025,2024-07-18 00:00:00+00:00,Fire,0,OR,2024,OR,Harney County,2023.0,56649.0,1111.0,OR,"Harney County, OR",2023.0,3624.0,3472.0,152.0,4.2,56001.0,74.0,7440.0,0.0007654733340632
41021,2024-07-17 00:00:00+00:00,Fire,0,OR,2024,OR,Gilliam County,2023.0,74010.0,236.0,OR,"Gilliam County, OR",2023.0,939.0,900.0,39.0,4.2,69038.0,91.3,2026.0,0.0002052093580434
41049,2024-07-17 00:00:00+00:00,Fire,0,OR,2024,OR,Morrow County,2023.0,80508.0,1617.0,OR,"Morrow County, OR",2023.0,6099.0,5891.0,208.0,3.4,67524.0,89.3,12302.0,0.0012686139789483
41069,2024-07-17 00:00:00+00:00,Fire,0,OR,2024,OR,Wheeler County,2023.0,46315.0,263.0,OR,"Wheeler County, OR",2023.0,798.0,776.0,22.0,2.8,49716.0,65.7,1436.0,0.0001441536236785
30007,2024-07-09 00:00:00+00:00,Fire,0,MT,2024,MT,Broadwater County,2023.0,72933.0,696.0,MT,"Broadwater County, MT",2023.0,2847.0,2746.0,101.0,3.5,67927.0,100.0,8032.0,0.0008267360370192
30049,2024-07-09 00:00:00+00:00,Fire,0,MT,2024,MT,Lewis and Clark County,2023.0,76816.0,6827.0,MT,"Lewis and Clark County, MT",2023.0,38712.0,37712.0,1000.0,2.6,72491.0,106.7,75011.0,0.0077580106675751
41065,2024-07-10 00:00:00+00:00,Fire,0,OR,2024,OR,Wasco County,2023.0,65701.0,3518.0,OR,"Wasco County, OR",2023.0,13174.0,12645.0,529.0,4.0,60506.0,80.0,26333.0,0.0027206021295826
1017,2015-12-23 00:00:00+00:00,Severe Storm,1,AL,2015,AL,Chambers County,2023.0,50390.0,5661.0,AL,"Chambers County, AL",2023.0,16272.0,15884.0,388.0,2.4,45563.0,76.3,34079.0,0.0035221914827871
1019,2015-12-23 00:00:00+00:00,Severe Storm,1,AL,2015,AL,Cherokee County,2023.0,56400.0,3949.0,AL,"Cherokee County, AL",2023.0,11854.0,11570.0,284.0,2.4,52613.0,88.1,25666.0,0.0026515781044616
1027,2015-12-23 00:00:00+00:00,Severe Storm,1,AL,2015,AL,Clay County,2023.0,52077.0,2337.0,AL,"Clay County, AL",2023.0,5945.0,5805.0,140.0,2.4,49599.0,83.1,14111.0,0.0014558170695689
41017,2024-06-25 00:00:00+00:00,Fire,0,OR,2024,OR,Deschutes County,2023.0,95414.0,17944.0,OR,"Deschutes County, OR",2023.0,104662.0,100812.0,3850.0,3.7,84281.0,111.4,208513.0,0.0215733710899235
1029,2015-12-23 00:00:00+00:00,Severe Storm,1,AL,2015,AL,Cleburne County,2023.0,59526.0,2432.0,AL,"Cleburne County, AL",2023.0,6205.0,6064.0,141.0,2.3,49248.0,82.5,15639.0,0.0016139410731445
35027,2024-05-16 00:00:00+00:00,Fire,0,NM,2024,NM,Lincoln County,2023.0,59386.0,3221.0,NM,"Lincoln County, NM",2023.0,9073.0,8781.0,292.0,3.2,54344.0,90.8,20029.0,0.0020682371305377
40153,2024-04-06 00:00:00+00:00,Fire,0,OK,2024,OK,Woodward County,2023.0,59312.0,2726.0,OK,"Woodward County, OK",2023.0,9041.0,8769.0,272.0,3.0,61248.0,102.7,19947.0,0.002059751418304
40045,2024-02-27 00:00:00+00:00,Fire,0,OK,2024,OK,Ellis County,2023.0,57212.0,503.0,OK,"Ellis County, OK",2023.0,2128.0,2078.0,50.0,2.3,54087.0,90.7,3648.0,0.0003730608853992
48211,2024-02-27 00:00:00+00:00,Fire,0,TX,2024,TX,Hemphill County,2023.0,72565.0,314.0,TX,"Hemphill County, TX",2023.0,1559.0,1504.0,55.0,3.5,73212.0,101.3,3189.0,0.0003255615937492
48233,2024-02-27 00:00:00+00:00,Fire,0,TX,2024,TX,Hutchinson County,2023.0,64752.0,2809.0,TX,"Hutchinson County, TX",2023.0,8486.0,8119.0,367.0,4.3,65019.0,90.0,20033.0,0.0020686510677199
48393,2024-02-27 00:00:00+00:00,Fire,0,TX,2024,TX,Roberts County,2023.0,76634.0,75.0,TX,"Roberts County, TX",2023.0,389.0,375.0,14.0,3.6,70814.0,98.0,840.0,8.247698354040887e-05
48341,2024-02-27 00:00:00+00:00,Fire,0,TX,2024,TX,Moore County,2023.0,64003.0,2839.0,TX,"Moore County, TX",2023.0,11299.0,10995.0,304.0,2.7,66583.0,92.1,21190.0,0.0021883823976524
22079,2023-08-30 00:00:00+00:00,Fire,0,LA,2023,LA,Rapides Parish,2023.0,52379.0,24624.0,LA,"Rapides Parish, LA",2023.0,54680.0,52770.0,1910.0,3.5,55870.0,100.7,126260.0,0.0130614773293849
22115,2023-08-30 00:00:00+00:00,Fire,0,LA,2023,LA,Vernon Parish,2023.0,55872.0,7453.0,LA,"Vernon Parish, LA",2023.0,16298.0,15551.0,747.0,4.6,52626.0,94.9,46250.0,0.0047816988437285
22115,2023-08-26 00:00:00+00:00,Fire,0,LA,2023,LA,Vernon Parish,2023.0,55872.0,7453.0,LA,"Vernon Parish, LA",2023.0,16298.0,15551.0,747.0,4.6,52626.0,94.9,46250.0,0.0047816988437285
22115,2023-08-25 00:00:00+00:00,Fire,0,LA,2023,LA,Vernon Parish,2023.0,55872.0,7453.0,LA,"Vernon Parish, LA",2023.0,16298.0,15551.0,747.0,4.6,52626.0,94.9,46250.0,0.0047816988437285
22011,2023-08-23 00:00:00+00:00,Fire,0,LA,2023,LA,Beauregard Parish,2023.0,57108.0,5596.0,LA,"Beauregard Parish, LA",2023.0,14551.0,14030.0,521.0,3.6,64394.0,116.1,36827.0,0.0038065663269139
53063,2023-08-19 00:00:00+00:00,Fire,0,WA,2023,WA,Spokane County,2023.0,73380.0,67235.0,WA,"Spokane County, WA",2023.0,264059.0,252852.0,11207.0,4.2,69079.0,75.7,551455.0,0.0570624823688631
30089,2023-08-18 00:00:00+00:00,Fire,0,MT,2023,MT,Sanders County,2023.0,54599.0,1956.0,MT,"Sanders County, MT",2023.0,5517.0,5251.0,266.0,4.8,47976.0,70.6,13684.0,0.001411629275376
